GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-orders,com.compassuol.sp.challenge.msorders,MsOrdersApplication,5,3,0,0,2,1,1,1,1,1
ms-orders,com.compassuol.sp.challenge.msorders.controller.exception.errorTypes,ProductNotFoundException,23,0,0,0,10,0,5,0,5,0
ms-orders,com.compassuol.sp.challenge.msorders.controller.exception.errorTypes,BusinessErrorException,23,0,0,0,10,0,5,0,5,0
ms-orders,com.compassuol.sp.challenge.msorders.dto,AddressRequestDTO,12,21,0,0,1,4,3,4,3,4
ms-orders,com.compassuol.sp.challenge.msorders.dto,ViaCepAddress,18,88,0,0,6,7,6,16,6,16
ms-orders,com.compassuol.sp.challenge.msorders.dto,RequestOrderDTO,12,21,0,0,1,4,3,4,3,4
ms-orders,com.compassuol.sp.challenge.msorders.dto,ProductModelDTO,25,18,0,0,4,2,7,2,7,2
ms-orders,com.compassuol.sp.challenge.msorders.constant,PaymentTypeEnum,0,39,0,0,0,7,0,1,0,1
ms-orders,com.compassuol.sp.challenge.msorders.constant,StatusOrderEnum,0,21,0,0,0,4,0,1,0,1
ms-orders,com.compassuol.sp.challenge.msorders.controller,OrderController,48,9,4,0,11,1,7,1,5,1
ms-orders,com.compassuol.sp.challenge.msorders.service,OrderService,16,116,1,3,4,20,4,5,3,4
ms-orders,com.compassuol.sp.challenge.msorders.controller.exception,GlobalExceptionHandler,90,3,0,0,20,1,4,1,4,1
ms-orders,com.compassuol.sp.challenge.msorders.controller.exception,ResponseErrorTemplate,33,0,0,0,14,0,7,0,7,0
ms-orders,com.compassuol.sp.challenge.msorders.model,OrderModel,102,45,2,2,16,15,23,3,21,3
ms-orders,com.compassuol.sp.challenge.msorders.model,AddressModel,91,24,0,0,11,9,17,2,17,2
ms-orders,com.compassuol.sp.challenge.msorders.model,OrderProductsModel,11,15,0,0,2,3,3,3,3,3
ms-orders,com.compassuol.sp.challenge.msorders.model,AddressModel.AddressModelBuilder,72,0,0,0,1,0,10,0,10,0
